sim_time,phase_index,phase_state,total_queue_length,max_queue_length,vehicle_count,avg_waiting_time,queue_north_to_center_0,queue_north_to_center_1,queue_east_to_center_0,queue_east_to_center_1,queue_south_to_center_0,queue_south_to_center_1,queue_west_to_center_0,queue_west_to_center_1,llm_action,llm_duration
0,0,GGGgGGGgrrrrrrrr,0,0,3,0.0,0,0,0,0,0,0,0,0,,
1,0,GGGgGGGgrrrrrrrr,0,0,3,0.0,0,0,0,0,0,0,0,0,,
2,0,GGGgGGGgrrrrrrrr,0,0,5,0.0,0,0,0,0,0,0,0,0,,
3,0,GGGgGGGgrrrrrrrr,0,0,7,0.0,0,0,0,0,0,0,0,0,,
4,0,GGGgGGGgrrrrrrrr,0,0,8,0.0,0,0,0,0,0,0,0,0,,
5,0,GGGgGGGgrrrrrrrr,0,0,10,0.0,0,0,0,0,0,0,0,0,,
6,0,GGGgGGGgrrrrrrrr,0,0,11,0.0,0,0,0,0,0,0,0,0,,
7,0,GGGgGGGgrrrrrrrr,0,0,13,0.0,0,0,0,0,0,0,0,0,,
8,0,GGGgGGGgrrrrrrrr,0,0,13,0.0,0,0,0,0,0,0,0,0,,
9,0,GGGgGGGgrrrrrrrr,0,0,14,0.0,0,0,0,0,0,0,0,0,,
10,0,GGGgGGGgrrrrrrrr,0,0,15,0.0,0,0,0,0,0,0,0,0,switch,20
11,1,yyyyyyyyrrrrrrrr,0,0,16,0.0,0,0,0,0,0,0,0,0,,
12,1,yyyyyyyyrrrrrrrr,0,0,17,0.0,0,0,0,0,0,0,0,0,,
13,1,yyyyyyyyrrrrrrrr,0,0,18,0.0,0,0,0,0,0,0,0,0,,
14,1,yyyyyyyyrrrrrrrr,0,0,18,0.0,0,0,0,0,0,0,0,0,,
15,2,rrrrrrrrGGGgGGGg,0,0,20,0.0,0,0,0,0,0,0,0,0,,
16,2,rrrrrrrrGGGgGGGg,0,0,21,0.0,0,0,0,0,0,0,0,0,,
17,2,rrrrrrrrGGGgGGGg,0,0,23,0.0,0,0,0,0,0,0,0,0,,
18,2,rrrrrrrrGGGgGGGg,0,0,26,0.0,0,0,0,0,0,0,0,0,,
19,2,rrrrrrrrGGGgGGGg,0,0,27,0.0,0,0,0,0,0,0,0,0,,
20,2,rrrrrrrrGGGgGGGg,1,1,31,0.03,0,0,1,0,0,0,0,0,switch,20
21,3,rrrrrrrryyyyyyyy,1,1,32,0.06,0,0,1,0,0,0,0,0,,
22,3,rrrrrrrryyyyyyyy,1,1,35,0.09,0,0,1,0,0,0,0,0,,
23,3,rrrrrrrryyyyyyyy,2,1,36,0.14,1,0,1,0,0,0,0,0,,
24,3,rrrrrrrryyyyyyyy,2,1,37,0.19,1,0,1,0,0,0,0,0,,
25,0,GGGgGGGgrrrrrrrr,1,1,38,0.03,0,0,0,0,0,0,0,1,,
26,0,GGGgGGGgrrrrrrrr,1,1,42,0.07,0,0,0,0,0,0,0,1,,
